"","Gen","Ard","Arc"
"1","SERPINA4","anaemia","haematology/dermatology"
"2","RBP4","anaemia","haematology/dermatology"
"3","ITGA11","anaemia","haematology/dermatology"
"4","DCT","anaemia","haematology/dermatology"
"5","AFP","anaemia","haematology/dermatology"
"6","LAMB1","anaemia","haematology/dermatology"
"7","NES","anaemia","haematology/dermatology"
"8","FST","anaemia","haematology/dermatology"
"9","COL4A2","anaemia","haematology/dermatology"
"10","YAP1","anaemia","haematology/dermatology"
"11","MIR548K","anaemia","haematology/dermatology"
"12","F10","anaemia","haematology/dermatology"
"13","MLANA","anaemia","haematology/dermatology"
"14","UGT2A3","anaemia","haematology/dermatology"
"15","PRDM7","anaemia","haematology/dermatology"
"16","C4BPB","anaemia","haematology/dermatology"
"17","FGL1","anaemia","haematology/dermatology"
"18","FGA","anaemia","haematology/dermatology"
"19","SERPINC1","anaemia","haematology/dermatology"
"20","DUSP9","anaemia","haematology/dermatology"
"21","ALB","anaemia","haematology/dermatology"
"22","C3","anaemia","haematology/dermatology"
"23","MAT1A","anaemia","haematology/dermatology"
"24","ABCC2","anaemia","haematology/dermatology"
"25","ISM2","anaemia","haematology/dermatology"
"26","GFRA1","anaemia","haematology/dermatology"
"27","IGF2","anaemia","haematology/dermatology"
"28","MLPH","anaemia","haematology/dermatology"
"29","SMLR1","anaemia","haematology/dermatology"
"30","D1504","anaemia","haematology/dermatology"
"31","A1CF","anaemia","haematology/dermatology"
"32","SERPINA6","anaemia","haematology/dermatology"
"33","SLC5A4","anaemia","haematology/dermatology"
"34","APOH","anaemia","haematology/dermatology"
"35","FN1","anaemia","haematology/dermatology"
"36","FGF4","anaemia","haematology/dermatology"
"37","CPS1","anaemia","haematology/dermatology"
"38","FENDRR","anaemia","haematology/dermatology"
"39","ITGA3","anaemia","haematology/dermatology"
"40","LEFTY2","anaemia","haematology/dermatology"
"41","LOXL2","anaemia","haematology/dermatology"
"42","PCAT14","anaemia","haematology/dermatology"
"43","MATN3","anaemia","haematology/dermatology"
"44","PCSK9","anaemia","haematology/dermatology"
"45","CCN5","anaemia","haematology/dermatology"
