"","Gen","Ard","Arc"
"1","LLGL1","anaemia","haematology/dermatology"
"2","MAPK13","anaemia","haematology/dermatology"
"3","MAPK11","anaemia","haematology/dermatology"
"4","LLGL2","anaemia","haematology/dermatology"
"5","MAPK12","anaemia","haematology/dermatology"
"6","WWTR1","anaemia","haematology/dermatology"
"7","ZAP70","anaemia","haematology/dermatology"
"8","UBE3A","anaemia","haematology/dermatology"
"9","YAP1","anaemia","haematology/dermatology"
"10","D1504","anaemia","haematology/dermatology"
"11","PTEN","anaemia","haematology/dermatology"
"12","MAPK14","anaemia","haematology/dermatology"
"13","VWF","angina","cardiovascular"
"14","PRKCD","angina","cardiovascular"
"15","DGKE","angina","cardiovascular"
"16","DGKD","angina","cardiovascular"
"17","MDM2","angina","cardiovascular"
"18","PSMD1","angina","cardiovascular"
"19","CACNG6","angina","cardiovascular"
"20","F2R","angina","cardiovascular"
"21","GNG11","angina","cardiovascular"
"22","IBSP","angina","cardiovascular"
"23","ModAge","angina","cardiovascular"
"24","PINK1","angina","cardiovascular"
"25","PLCB4","angina","cardiovascular"
"26","PDPK1","angina","cardiovascular"
"27","GNB3","angina","cardiovascular"
"28","PSMA4","angina","cardiovascular"
"29","SNCA","angina","cardiovascular"
"30","PIK3CB","angina","cardiovascular"
"31","YBX3","angina","cardiovascular"
"32","CACNA2D4","angina","cardiovascular"
"33","PLAT","angina","cardiovascular"
"34","THBS4","angina","cardiovascular"
"35","FOSL2","angina","cardiovascular"
"36","ATG5","angina","cardiovascular"
"37","KCNJ1","angina","cardiovascular"
"38","PSMB6","angina","cardiovascular"
"39","PSMD6","angina","cardiovascular"
"40","BCL2L1","angina","cardiovascular"
"41","PSMC2","angina","cardiovascular"
"42","THBS3","angina","cardiovascular"
"43","CACNG7","angina","cardiovascular"
"44","CALM2","angina","cardiovascular"
"45","D1536","angina","cardiovascular"
"46","CTBP1","angina","cardiovascular"
"47","MIR10B","angina","cardiovascular"
"48","NR3C2","angina","cardiovascular"
"49","D1112","angina","cardiovascular"
"50","PLPP4","angina","cardiovascular"
"51","LAMB3","angina","cardiovascular"
"52","SPP1","angina","cardiovascular"
"53","JUP","angina","cardiovascular"
"54","NFATC1","angina","cardiovascular"
"55","FLNB","angina","cardiovascular"
"56","MAP2K6","angina","cardiovascular"
"57","FGB","angina","cardiovascular"
"58","PSMB2","angina","cardiovascular"
"59","PLCD4","angina","cardiovascular"
"60","PARVA","angina","cardiovascular"
"61","D1082","angina","cardiovascular"
"62","PSMA2","angina","cardiovascular"
"63","ITGB6","angina","cardiovascular"
"64","WDR5","angina","cardiovascular"
"65","UBB","angina","cardiovascular"
"66","PSMD13","angina","cardiovascular"
"67","DGKZ","angina","cardiovascular"
"68","FGG","angina","cardiovascular"
"69","KDR","angina","cardiovascular"
"70","COL6A6","angina","cardiovascular"
"71","PSMB7","angina","cardiovascular"
"72","MIR10A","angina","cardiovascular"
"73","PSMD8","angina","cardiovascular"
"74","MAOA","angina","cardiovascular"
"75","ETS1","angina","cardiovascular"
"76","PSMA5","angina","cardiovascular"
"77","PRNP","angina","cardiovascular"
"78","GADD45A","angina","cardiovascular"
"79","TP53","angina","cardiovascular"
"80","GADD45B","angina","cardiovascular"
"81","CACNB2","angina","cardiovascular"
"82","CTBP2","angina","cardiovascular"
"83","CSF2","angina","cardiovascular"
"84","MAPK14","angina","cardiovascular"
"85","PXN","angina","cardiovascular"
"86","GPR37","angina","cardiovascular"
"87","LOC102723407","angina","cardiovascular"
"88","D1091","angina","cardiovascular"
"89","HDAC2","angina","cardiovascular"
"90","PSMC3","angina","cardiovascular"
"91","ITGB1","angina","cardiovascular"
"92","PIK3CA","angina","cardiovascular"
"93","PSMA6","angina","cardiovascular"
"94","MIR30A","angina","cardiovascular"
"95","RHOT2","angina","cardiovascular"
"96","CCND3","angina","cardiovascular"
"97","COL9A1","angina","cardiovascular"
"98","MIR125B1","angina","cardiovascular"
"99","UBE2L3","angina","cardiovascular"
"100","LPIN1","angina","cardiovascular"
"101","FOXO6","angina","cardiovascular"
"102","MAPK11","angina","cardiovascular"
"103","CALM3","angina","cardiovascular"
"104","UBA52","angina","cardiovascular"
"105","MAP2K3","angina","cardiovascular"
"106","COL4A2","angina","cardiovascular"
"107","NEDD4L","angina","cardiovascular"
"108","PIK3CD","angina","cardiovascular"
"109","GPAT3","angina","cardiovascular"
"110","GNB1","angina","cardiovascular"
"111","MYC","angina","cardiovascular"
"112","MPO","angina","cardiovascular"
"113","CACNA1F","angina","cardiovascular"
"114","CACNG2","angina","cardiovascular"
"115","GADD45G","angina","cardiovascular"
"116","COL4A5","angina","cardiovascular"
"117","THBS2","angina","cardiovascular"
"118","TNR","angina","cardiovascular"
"119","GNG8","angina","cardiovascular"
"120","PLPP5","angina","cardiovascular"
"121","CREB1","angina","cardiovascular"
"122","FLNA","angina","cardiovascular"
"123","LAMB1","angina","cardiovascular"
"124","CCND1","angina","cardiovascular"
"125","PTPN6","angina","cardiovascular"
"126","LPIN2","angina","cardiovascular"
"127","PLCZ1","angina","cardiovascular"
"128","CACNA1S","angina","cardiovascular"
"129","PSMB5","angina","cardiovascular"
"130","FLNC","angina","cardiovascular"
"131","GNG10","angina","cardiovascular"
"132","SEPTIN5","angina","cardiovascular"
"133","CD86","angina","cardiovascular"
"134","GPAT2","angina","cardiovascular"
"135","CEBPA","angina","cardiovascular"
"136","PSMD2","angina","cardiovascular"
"137","CDK4","angina","cardiovascular"
"138","VASP","angina","cardiovascular"
"139","RELA","angina","cardiovascular"
"140","CACNA1D","angina","cardiovascular"
"141","PSMA8","angina","cardiovascular"
