"","Gen","ARD_Pleiotropy","ARC_Pleiotropy","iARD_Interactor","iARC_Interactor","GenAge"
"1","A4GNT",1,1,0,0,"NotAge"
"2","AASDH",1,1,0,0,"NotAge"
"3","ABCB1",1,1,0,0,"NotAge"
"4","ABCC8",2,1,1,1,"NotAge"
"5","ABCG5",6,3,0,0,"NotAge"
"6","ABCG8",5,3,0,0,"NotAge"
"7","ABHD6",1,1,0,0,"NotAge"
"8","ABI2",1,1,0,0,"NotAge"
"9","ABLIM1",5,2,0,0,"NotAge"
"10","ABT1",7,4,0,0,"NotAge"
"11","ACAD10",4,2,0,0,"NotAge"
"12","ACADSB",2,2,0,0,"NotAge"
"13","ACADVL",3,1,0,0,"NotAge"
"14","ACBD4",1,1,0,0,"NotAge"
"15","ACD",2,1,0,0,"NotAge"
"16","ACLY",1,1,0,0,"NotAge"
"17","ACP2",1,1,1,1,"NotAge"
"18","ACSM5",1,1,0,0,"NotAge"
"19","ACTG1P12",3,1,0,0,"NotAge"
"20","ACTG1P19",3,1,0,0,"NotAge"
"21","ACTG1P20",2,1,0,0,"NotAge"
"22","ACTL10",2,1,0,0,"NotAge"
"23","ACTN4",1,1,2,1,"NotAge"
"24","ACTR2",1,1,3,1,"NotAge"
"25","ADAM10",1,1,0,0,"NotAge"
"26","ADAM19",1,1,0,0,"NotAge"
"27","ADAM1A",7,3,0,0,"NotAge"
"28","ADAM1B",7,3,0,0,"NotAge"
"29","ADARB1",1,1,0,0,"NotAge"
"30","ADCY3",1,1,16,5,"NotAge"
"31","ADD2",3,1,0,0,"NotAge"
"32","ADK",1,1,5,2,"NotAge"
"33","ADM",1,1,0,0,"NotAge"
"34","ADM-DT",1,1,0,0,"NotAge"
"35","AFAP1",1,1,0,0,"NotAge"
"36","AGAP2",1,1,0,0,"NotAge"
"37","AGAP2-AS1",1,1,0,0,"NotAge"
"38","AGBL2",2,1,0,0,"NotAge"
"39","AGFG1",1,1,0,0,"NotAge"
"40","AGPAT4",5,1,7,3,"NotAge"
"41","AGPS",1,1,0,0,"NotAge"
"42","AGRP",2,1,0,0,"NotAge"
"43","AHCYL1",1,1,1,1,"NotAge"
"44","AHI1",4,2,0,0,"NotAge"
"45","AHSA2P",1,1,0,0,"NotAge"
"46","AIFM1P1",1,1,0,0,"NotAge"
"47","AIG1",2,2,0,0,"NotAge"
"48","AKT3",1,1,10,4,"NotAge"
"49","AKTIP",1,1,0,0,"NotAge"
"50","ALCAM",2,1,0,0,"NotAge"
"51","ALDH2",7,3,0,0,"NotAge"
"52","ALDH9A1",2,1,0,0,"NotAge"
"53","ALG1L13P",2,1,0,0,"NotAge"
"54","ALG1L3P",1,1,0,0,"NotAge"
"55","ALG6",1,1,1,1,"NotAge"
"56","ALG9",1,1,1,1,"NotAge"
"57","ALKBH6",2,1,0,0,"NotAge"
"58","ALOX5",1,1,6,3,"NotAge"
"59","ALX3",1,1,0,0,"NotAge"
"60","AMBRA1",4,1,5,1,"NotAge"
"61","AMPD3",1,1,6,2,"NotAge"
"62","ANAPC5",5,2,2,2,"NotAge"
"63","ANGPTL2",2,1,0,0,"NotAge"
"64","ANGPTL8",2,1,0,0,"NotAge"
"65","ANKFN1",1,1,0,0,"NotAge"
"66","ANKH",2,2,0,0,"NotAge"
"67","ANKRD29",1,1,0,0,"NotAge"
"68","ANKRD31",1,1,0,0,"NotAge"
"69","ANKRD34C-AS1",3,1,0,0,"NotAge"
"70","ANP32BP1",1,1,0,0,"NotAge"
"71","ANP32E",1,1,0,0,"NotAge"
"72","AP1M2",2,1,0,0,"NotAge"
"73","AP4B1",3,1,0,0,"NotAge"
"74","AP4B1-AS1",3,1,0,0,"NotAge"
"75","AP5Z1",2,1,0,0,"NotAge"
"76","APH1A",1,1,0,0,"NotAge"
"77","APOA1",4,2,0,0,"NotAge"
"78","APOA1-AS",5,2,0,0,"NotAge"
"79","APOA4",5,2,0,0,"NotAge"
"80","APOA5",4,2,0,0,"NotAge"
"81","APOB",1,1,2,1,"NotAge"
"82","APOBR",1,1,0,0,"NotAge"
"83","APOC2",1,1,2,1,"NotAge"
"84","APOC3",5,2,0,0,"Age"
"85","APOC4",1,1,0,0,"NotAge"
"86","APOC4-APOC2",1,1,0,0,"NotAge"
"87","APOF",3,1,0,0,"NotAge"
"88","APOLD1",1,1,0,0,"NotAge"
"89","APONP",3,1,0,0,"NotAge"
"90","ARAP1",1,1,0,0,"NotAge"
"91","ARAP1-AS1",1,1,0,0,"NotAge"
"92","ARAP1-AS2",1,1,0,0,"NotAge"
"93","ARFGEF2",1,1,0,0,"NotAge"
"94","ARHGAP1",4,1,0,0,"Age"
