"Phenotype","Score","color_group","Label"
"GenAge.Hum",0.321000565,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.979507583,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.242125331,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.704089623,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.231734629,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.949235917,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",1,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Mod",0.270252934,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.788388183,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.994208857,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.994208857,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.994208857,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.984619903,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.984619903,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.984619903,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.367515666,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.284078481,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"GenAge.Hum",0.203943829,"GenAge","Tissue specificity in genes associated with ARCs and GenAge"
"endocrine/diabetes",0.271912913,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"cardiovascular",0.271912913,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
"gastrointestinal/abdominal",0.1752366,"Other_ARCs","Tissue specificity in genes associated with ARCs and GenAge"
