"Gene","Tau","InteractionType","ARC_Connected","ARC_Connected_Threshold","Dataset"
"A4GNT",0.979507583,"Dir",1,"1","DISEASE"
"AASDH",0.242125331,"Dir",1,"1","DISEASE"
"ABCB1",0.704089623,"Dir",1,"1","DISEASE"
"ABCC8",0.788388183,"Dir",1,"1","DISEASE"
"ABCG5",0.994208857,"Dir",3,"3","DISEASE"
"ABCG8",0.984619903,"Dir",3,"3","DISEASE"
"ABHD6",0.367515666,"Dir",1,"1","DISEASE"
"ABI2",0.284078481,"Dir",1,"1","DISEASE"
"ABLIM1",0.271912913,"Dir",2,"2","DISEASE"
"ABT1",0.1752366,"Dir",4,"4+","DISEASE"
"ACAD10",0.200504995,"Dir",2,"2","DISEASE"
"ACADSB",0.406531006,"Dir",2,"2","DISEASE"
"ACADVL",0.115708818,"Dir",1,"1","DISEASE"
"ACBD4",0.222406877,"Dir",1,"1","DISEASE"
"ACD",0.239597057,"Dir",1,"1","DISEASE"
"ACLY",0.165015728,"Dir",1,"1","DISEASE"
"ACP2",0.148867933,"Dir",1,"1","DISEASE"
"ACSM5",0.793481952,"Dir",1,"1","DISEASE"
"ACTG1P20",0.591101297,"Dir",1,"1","DISEASE"
"ACTN4",0.228878817,"Dir",1,"1","DISEASE"
"ACTR2",0.192005969,"Dir",1,"1","DISEASE"
"ADAM10",0.293248585,"Dir",1,"1","DISEASE"
"ADAM19",0.400619588,"Dir",1,"1","DISEASE"
"ADARB1",0.457268641,"Dir",1,"1","DISEASE"
"ADCY3",0.34861527,"Dir",1,"1","DISEASE"
"ADD2",0.953924755,"Dir",1,"1","DISEASE"
"ADK",0.259136431,"Dir",1,"1","DISEASE"
"ADM",0.315439918,"Dir",1,"1","DISEASE"
"ADM-DT",0.999275431,"Dir",1,"1","DISEASE"
"AFAP1",0.326459737,"Dir",1,"1","DISEASE"
"AGAP2",0.808555982,"Dir",1,"1","DISEASE"
"AGAP2-AS1",0.445559588,"Dir",1,"1","DISEASE"
"AGBL2",0.863094127,"Dir",1,"1","DISEASE"
"AGFG1",0.236002276,"Dir",1,"1","DISEASE"
"AGPAT4",0.438264591,"Dir",1,"1","DISEASE"
"AGPS",0.195323336,"Dir",1,"1","DISEASE"
"AGRP",0.960538394,"Dir",1,"1","DISEASE"
"AHCYL1",0.187188459,"Dir",1,"1","DISEASE"
"AHI1",0.456408357,"Dir",2,"2","DISEASE"
"AIG1",0.31326233,"Dir",2,"2","DISEASE"
"AKT3",0.304565358,"Dir",1,"1","DISEASE"
"AKTIP",0.177415633,"Dir",1,"1","DISEASE"
"ALCAM",0.346290605,"Dir",1,"1","DISEASE"
"ALDH2",0.273308572,"Dir",3,"3","DISEASE"
"ALDH9A1",0.173101888,"Dir",1,"1","DISEASE"
"ALG1L13P",0.944337594,"Dir",1,"1","DISEASE"
"ALG6",0.360877525,"Dir",1,"1","DISEASE"
"ALG9",0.195403928,"Dir",1,"1","DISEASE"
"ALKBH6",0.182106912,"Dir",1,"1","DISEASE"
"ALOX5",0.54480508,"Dir",1,"1","DISEASE"
"ALX3",0.970950359,"Dir",1,"1","DISEASE"
"AMBRA1",0.189111014,"Dir",1,"1","DISEASE"
"AMPD3",0.530272468,"Dir",1,"1","DISEASE"
"ANAPC5",0.119907662,"Dir",2,"2","DISEASE"
"ANGPTL2",0.338291253,"Dir",1,"1","DISEASE"
"ANGPTL8",0.888642968,"Dir",1,"1","DISEASE"
