"","Gen","Tau","TypInt","Num","TypNum","Dts"
"1","A4GNT",0.979507583,"Dir",1,"1","EndAll"
"2","AASDH",0.242125331,"Dir",1,"1","EndAll"
"3","ABCB1",0.704089623,"Dir",1,"1","EndAll"
"4","ABCC8",0.788388183,"Dir",1,"1","EndAll"
"5","ABCG5",0.994208857,"Dir",3,"3","EndAll"
"6","ABCG8",0.984619903,"Dir",3,"3","EndAll"
"7","ABHD6",0.367515666,"Dir",1,"1","EndAll"
"8","ABI2",0.284078481,"Dir",1,"1","EndAll"
"9","ABLIM1",0.271912913,"Dir",2,"2","EndAll"
"10","ABT1",0.1752366,"Dir",4,"4+","EndAll"
"11","ACAD10",0.200504995,"Dir",2,"2","EndAll"
"12","ACADSB",0.406531006,"Dir",2,"2","EndAll"
"13","ACADVL",0.115708818,"Dir",1,"1","EndAll"
"14","ACBD4",0.222406877,"Dir",1,"1","EndAll"
"15","ACD",0.239597057,"Dir",1,"1","EndAll"
"16","ACLY",0.165015728,"Dir",1,"1","EndAll"
"17","ACP2",0.148867933,"Dir",1,"1","EndAll"
"18","ACSM5",0.793481952,"Dir",1,"1","EndAll"
"19","ACTG1P20",0.591101297,"Dir",1,"1","EndAll"
"20","ACTN4",0.228878817,"Dir",1,"1","EndAll"
"21","ACTR2",0.192005969,"Dir",1,"1","EndAll"
"22","ADAM10",0.293248585,"Dir",1,"1","EndAll"
"23","ADAM19",0.400619588,"Dir",1,"1","EndAll"
"24","ADARB1",0.457268641,"Dir",1,"1","EndAll"
"25","ADCY3",0.34861527,"Dir",1,"1","EndAll"
"26","ADD2",0.953924755,"Dir",1,"1","EndAll"
"27","ADK",0.259136431,"Dir",1,"1","EndAll"
"28","ADM",0.315439918,"Dir",1,"1","EndAll"
"29","ADM-DT",0.999275431,"Dir",1,"1","EndAll"
"30","AFAP1",0.326459737,"Dir",1,"1","EndAll"
"31","AGAP2",0.808555982,"Dir",1,"1","EndAll"
"32","AGAP2-AS1",0.445559588,"Dir",1,"1","EndAll"
"33","AGBL2",0.863094127,"Dir",1,"1","EndAll"
"34","AGFG1",0.236002276,"Dir",1,"1","EndAll"
"35","AGPAT4",0.438264591,"Dir",1,"1","EndAll"
"36","AGPS",0.195323336,"Dir",1,"1","EndAll"
"37","AGRP",0.960538394,"Dir",1,"1","EndAll"
"38","AHCYL1",0.187188459,"Dir",1,"1","EndAll"
"39","AHI1",0.456408357,"Dir",2,"2","EndAll"
"40","AIG1",0.31326233,"Dir",2,"2","EndAll"
"41","AKT3",0.304565358,"Dir",1,"1","EndAll"
"42","AKTIP",0.177415633,"Dir",1,"1","EndAll"
"43","ALCAM",0.346290605,"Dir",1,"1","EndAll"
"44","ALDH2",0.273308572,"Dir",3,"3","EndAll"
"45","ALDH9A1",0.173101888,"Dir",1,"1","EndAll"
"46","ALG1L13P",0.944337594,"Dir",1,"1","EndAll"
"47","ALG6",0.360877525,"Dir",1,"1","EndAll"
"48","ALG9",0.195403928,"Dir",1,"1","EndAll"
"49","ALKBH6",0.182106912,"Dir",1,"1","EndAll"
"50","ALOX5",0.54480508,"Dir",1,"1","EndAll"
"51","ALX3",0.970950359,"Dir",1,"1","EndAll"
"52","AMBRA1",0.189111014,"Dir",1,"1","EndAll"
"53","AMPD3",0.530272468,"Dir",1,"1","EndAll"
"54","ANAPC5",0.119907662,"Dir",2,"2","EndAll"
"55","ANGPTL2",0.338291253,"Dir",1,"1","EndAll"
"56","ANGPTL8",0.888642968,"Dir",1,"1","EndAll"
"57","ANKFN1",0.924918022,"Dir",1,"1","EndAll"
"58","ANKH",0.332005827,"Dir",2,"2","EndAll"
"59","ANKRD29",0.475979754,"Dir",1,"1","EndAll"
"60","ANKRD31",1,"Dir",1,"1","EndAll"
"61","ANKRD34C-AS1",0.99817707,"Dir",1,"1","EndAll"
"62","ANP32E",0.151058067,"Dir",1,"1","EndAll"
"63","AP1M2",0.555811261,"Dir",1,"1","EndAll"
"64","AP4B1",0.274382598,"Dir",1,"1","EndAll"
"65","AP4B1-AS1",0.505750799,"Dir",1,"1","EndAll"
"66","AP5Z1",0.18470722,"Dir",1,"1","EndAll"
"67","APH1A",0.100578056,"Dir",1,"1","EndAll"
"68","APOA1",0.858488414,"Dir",2,"2","EndAll"
"69","APOA1-AS",0.849634736,"Dir",2,"2","EndAll"
"70","APOA4",0.963335511,"Dir",2,"2","EndAll"
"71","APOA5",0.993938376,"Dir",2,"2","EndAll"
"72","APOB",0.953793741,"Dir",1,"1","EndAll"
"73","APOBR",0.742071438,"Dir",1,"1","EndAll"
"74","APOC2",0.913110165,"Dir",1,"1","EndAll"
"75","APOC3",0.936384426,"Dir",2,"2","EndAll"
"76","APOC4",0.997779721,"Dir",1,"1","EndAll"
"77","APOF",0.999589119,"Dir",1,"1","EndAll"
"78","ARAP1",0.247061237,"Dir",1,"1","EndAll"
"79","ARAP1-AS2",0.795372389,"Dir",1,"1","EndAll"
"80","ARFGEF2",0.231117218,"Dir",1,"1","EndAll"
"81","ARHGAP1",0.184322147,"Dir",1,"1","EndAll"
"82","ARHGAP26",0.407149248,"Dir",1,"1","EndAll"
"83","ARHGAP27",0.368794108,"Dir",1,"1","EndAll"
"84","ARHGAP42",0.555894942,"Dir",1,"1","EndAll"
"85","ARHGAP42-AS1",1,"Dir",1,"1","EndAll"
"86","ARHGEF12",0.175174048,"Dir",1,"1","EndAll"
"87","ARHGEF18",0.282604061,"Dir",1,"1","EndAll"
"88","ARHGEF7",0.175372717,"Dir",1,"1","EndAll"
"89","ARL5B",0.268749072,"Dir",1,"1","EndAll"
"90","ARMH3",0.132335706,"Dir",1,"1","EndAll"
"91","ASAP2",0.477083972,"Dir",1,"1","EndAll"
"92","ASNSP3",1,"Dir",1,"1","EndAll"
"93","ASPH",0.293546184,"Dir",1,"1","EndAll"
