Homo sapiens,Caenorhabditis elegans,Relations,ID
HUMAN00003,190025,n:1,
26155,174598,01:01,960108
84808,176720,01:01,
HUMAN00026,183859,01:01,
126792,173635,01:01,
116983,174848,n:1,
126789,260252,01:01,
54973,174310,01:01,943559
80772,178144,01:01,
1855,266854,n:m,
1855,173894,n:m,
81669,176126,01:01,
219293,174590,n:1,
83858,174590,n:1,
55210,174590,n:1,593995
29101,188472,01:01,939109
2782,174803,n:1,593763
2563,CAEEL07962,n:1,
5590,173914,n:1,
11079,174410,01:01,894127
HUMAN00106,180779,01:01,922791
79258,188090,01:01,
1953,178377,01:01,599529
57470,171890,01:01,
9731,174711,01:01,
261734,179620,01:01,891799
26038,178970,n:m,
26038,181421,n:m,599566
6146,173873,n:1,958380
388591,179566,01:01,
23463,172106,1:m,721746
23463,187374,1:m,
55735,3565947,01:01,844972
11315,173416,01:01,814560
2023,174423,n:1,960120
80176,266877,n:1,
84275,174602,n:1,
22883,174006,n:1,884103
84328,3564772,01:01,947765
64802,172754,n:m,
64802,189236,n:m,961583
HUMAN00218,174144,n:1,752441
5226,177971,01:01,944839
23435,174436,01:01,595527
6723,174914,01:01,
2475,172167,01:01,737930
4524,174254,01:01,775155
5351,174564,n:1,
9927,173990,n:1,806651
23341,174093,01:01,923790
440567,176772,n:1,
7709,177249,01:01,
1969,CAEEL04156,n:1,
55707,173638,n:1,
9696,180771,01:01,
6390,174482,01:01,901455
8659,173510,01:01,530735
51154,174168,01:01,889458
54896,3565323,01:01,
832,174673,01:01,537097
440574,173579,01:01,
255104,173798,01:01,738376
5320,182181,01:01,
163933,181347,01:01,
978,186044,01:01,
HUMAN00420,174268,01:01,870715
57576,177141,01:01,595298
3339,175126,01:01,
998,174233,01:01,
54361,173399,01:01,
2046,CAEEL04156,n:1,
2048,CAEEL04156,n:1,
10236,173086,n:1,
6920,174450,n:1,
6135,178778,1:m,
6135,180535,1:m,960870
57095,191290,01:01,901082
11313,172587,n:1,
2582,173171,01:01,593576
3155,171738,n:1,
11123,175788,n:1,
HUMAN00494,173013,01:01,
25932,173314,n:m,
25932,175100,n:m,
25949,176003,01:01,948478
23585,171806,n:1,
55219,183963,01:01,
57134,172510,n:m,722677
57134,CAEEL15762,n:m,
5051,172120,n:m,570663
5051,180704,n:m,
7780,176715,n:m,
7780,188574,n:m,893184
84676,259719,01:01,
83442,260216,n:1,
79947,266904,01:01,961080
6195,172647,n:1,
8289,3565337,n:1,595654
84243,173062,n:1,
54707,172267,01:01,892838
63906,CAEEL15078,01:01,900364
10726,176754,01:01,756866
115572,172187,n:1,
HUMAN00561,183811,1:m,
HUMAN00561,181680,1:m,
23038,3565128,01:01,797852
9064,24104671,n:1,
10163,187639,n:1,
199870,172335,n:1,
23673,172718,n:1,575452
27293,191439,n:1,745802
55113,184190,n:1,
22826,171833,01:01,847916
83667,171593,n:1,881396
54797,183844,01:01,
1104,174332,01:01,
51102,174963,01:01,874775
4146,176888,1:m,598284
4146,182693,1:m,
9672,CAEEL09100,01:01,
9410,172015,1:m,
9410,181319,1:m,593783
2170,172390,n:m,
2170,178686,n:m,
2170,191701,n:m,894422
2170,188761,n:m,
64129,172827,01:01,823345
8073,180677,n:1,
55116,172060,n:1,889528
56063,3565720,01:01,
8668,171809,01:01,593648
3065,173074,n:1,
81629,182017,n:1,
339487,183428,01:01,941473
5928,172802,n:1,
204,176118,01:01,959449
113451,179079,n:1,
5690,171975,01:01,
192670,173468,n:m,
192670,181504,n:m,
26523,173468,n:m,
26523,181504,n:m,
192669,173468,n:m,
192669,181504,n:m,
27095,176344,n:1,957638
2899,172449,n:1,
29889,172624,01:01,931759
79693,174981,01:01,
HUMAN00757,CAEEL01891,n:1,
10946,174364,01:01,917485
51118,175536,01:01,911447
64121,178084,n:1,882898
8761,172920,n:m,593802
8761,181473,n:m,
10450,178487,01:01,596181
54802,175725,01:01,961717
10487,266829,n:1,756614
5538,191744,01:01,929171
10269,172820,01:01,703982
9132,180933,01:01,
1503,189267,n:1,961334
79717,175394,01:01,932911
10465,174394,01:01,593892
79078,3564855,01:01,724074
6513,178634,n:1,
10969,173968,01:01,594461
112950,174763,01:01,
HUMAN00857,182258,01:01,
5792,174685,n:1,599972
1802,174649,01:01,
HUMAN00873,174272,01:01,879234
55929,173310,01:01,
HUMAN00887,176845,1:m,887852
HUMAN00887,187397,1:m,
79639,172424,1:m,
79639,188870,1:m,
79639,180870,1:m,
6202,177503,01:01,961001
266675,6418643,n:m,
266675,176436,n:m,
266675,185198,n:m,
266675,177975,n:m,
266675,178030,n:m,
266675,191197,n:m,839969
266675,178264,n:m,
266675,182044,n:m,
8891,174138,01:01,
114034,174866,01:01,
25974,3565644,01:01,282961
8438,172728,01:01,593753
7388,176772,n:1,
2166,177612,1:m,
2166,177613,1:m,771957
51727,174701,1:m,
51727,181464,1:m,959451
388630,181571,n:1,913872
84871,184043,01:01,873660
1996,174506,n:1,595971
22996,174046,n:1,
114883,172253,01:01,575041
51060,174863,01:01,715561
112970,3565931,01:01,885696
91408,174090,n:1,909682
200014,CAEEL02747,n:1,
84950,179499,01:01,594106
65260,174784,01:01,594841
79699,174284,n:1,
440590,174284,n:1,872169
6342,174881,01:01,949340
HUMAN01024,178025,01:01,853479
54987,179370,01:01,891087
4116,173073,n:1,
7804,174116,n:1,
23648,174975,n:1,
7268,173946,01:01,797941
25973,173117,01:01,956224
1718,186134,01:01,927916
23358,174440,01:01,
8613,174071,01:01,
5563,181727,n:1,594445
