"","fields","FieldID","visit","num","description"
"1","eid","eid","0","0","eid"
"2","X19.0.0","X19","0","0","Heel ultrasound method"
"3","X21.0.0","X21","0","0","Weight method"
"4","X21.1.0","X21","1","0","Weight method"
"5","X21.2.0","X21","2","0","Weight method"
"6","X23.0.0","X23","0","0","Spirometry method"
"7","X23.1.0","X23","1","0","Spirometry method"
"8","X23.2.0","X23","2","0","Spirometry method"
"9","X31.0.0","X31","0","0","Sex"
"10","X34.0.0","X34","0","0","Year of birth"
"11","X35.0.0","X35","0","0","Was blood sampling attempted"
"12","X35.1.0","X35","1","0","Was blood sampling attempted"
"13","X35.2.0","X35","2","0","Was blood sampling attempted"
"14","X46.0.0","X46","0","0","Hand grip strength (left)"
"15","X46.1.0","X46","1","0","Hand grip strength (left)"
"16","X46.2.0","X46","2","0","Hand grip strength (left)"
"17","X47.0.0","X47","0","0","Hand grip strength (right)"
"18","X47.1.0","X47","1","0","Hand grip strength (right)"
"19","X47.2.0","X47","2","0","Hand grip strength (right)"
"20","X48.0.0","X48","0","0","Waist circumference"
"21","X48.1.0","X48","1","0","Waist circumference"
"22","X48.2.0","X48","2","0","Waist circumference"
"23","X49.0.0","X49","0","0","Hip circumference"
"24","X49.1.0","X49","1","0","Hip circumference"
"25","X49.2.0","X49","2","0","Hip circumference"
"26","X50.0.0","X50","0","0","Standing height"
"27","X50.1.0","X50","1","0","Standing height"
"28","X50.2.0","X50","2","0","Standing height"
"29","X52.0.0","X52","0","0","Month of birth"
"30","X53.0.0","X53","0","0","Date of attending assessment centre"
"31","X53.1.0","X53","1","0","Date of attending assessment centre"
"32","X53.2.0","X53","2","0","Date of attending assessment centre"
"33","X54.0.0","X54","0","0","UK Biobank assessment centre"
"34","X54.1.0","X54","1","0","UK Biobank assessment centre"
"35","X54.2.0","X54","2","0","UK Biobank assessment centre"
"36","X55.0.0","X55","0","0","Month of attending assessment centre"
"37","X55.1.0","X55","1","0","Month of attending assessment centre"
