Homo sapiens,Drosophila Melanogaster,Relations,ID
HUMAN00003,36311,n:1,595179
26155,35386,01:01,960108
339451,37172,01:01,599183
HUMAN00026,42303,01:01,595953
126792,35848,01:01,
116983,42735,n:1,
126789,4379908,01:01,951086
54973,43506,01:01,943559
80772,246587,n:1,924766
55052,39477,01:01,899725
219293,53565,n:1,
83858,53565,n:1,
55210,53565,n:1,593995
29101,32973,01:01,939109
HUMAN00068,35170,01:01,851967
65220,DROME05846,1:m,
65220,DROME05855,1:m,
2782,32544,n:1,593763
11079,43042,01:01,894127
5192,38182,01:01,724714
9731,35241,01:01,935777
8514,31955,n:1,
26038,40170,n:1,
23463,39478,01:01,721746
54626,43150,1:m,
54626,43152,1:m,598148
54626,43158,1:m,
54626,43161,1:m,
3104,37935,01:01,
55735,36584,01:01,844972
23261,35974,01:01,
11315,36543,1:m,
11315,DROME18022,1:m,
HUMAN00190,26067050,01:01,595663
473,DROME00523,01:01,
2023,33351,n:1,960120
765,42965,01:01,
HUMAN00206,42446,n:1,
22883,43824,n:1,884103
HUMAN00218,36876,n:1,752441
5226,31185,01:01,944839
5195,40294,01:01,
23435,37781,1:m,
23435,39665,1:m,595527
6723,41167,01:01,911196
5394,41798,01:01,926219
2475,47396,01:01,737930
29914,34961,01:01,810501
57085,318133,01:01,946943
5351,39265,n:1,
9927,31581,n:1,806651
55187,39448,01:01,706937
HUMAN00308,37552,01:01,
79180,35158,n:1,900357
23341,3354941,01:01,923790
84301,32616,n:1,899233
284723,36566,n:m,
284723,36567,n:m,
284723,36568,n:m,
440567,246560,n:m,
440567,5740185,n:m,596573
55707,2768881,n:1,909427
9696,42860,n:m,601426
9696,31350,n:m,
6390,35590,01:01,901455
55920,33850,01:01,594050
8659,40434,01:01,530735
23352,46243,01:01,929833
51154,36058,01:01,889458
832,33346,01:01,537097
440574,50344,01:01,
79594,38472,01:01,912594
978,34122,1:m,
978,34123,1:m,899888
HUMAN00420,31849,01:01,870715
1889,33005,n:1,
3339,45320,01:01,
998,32981,01:01,564951
2046,43803,n:1,
2048,43803,n:1,
23028,40217,01:01,904594
10236,42460,n:1,
80818,41530,01:01,
6920,34883,n:1,
6135,37235,01:01,960870
6924,42749,n:1,902199
57095,34675,01:01,901082
11313,59176,n:1,919745
2582,38076,01:01,593576
3155,33978,n:1,
HUMAN00494,39483,01:01,594220
25932,32349,n:1,
25949,36143,01:01,948478
23585,38529,n:1,717203
7780,34890,01:01,
79947,31708,01:01,961080
6195,33139,n:1,
8289,42130,n:1,595654
55650,19835383,01:01,594104
84243,39399,01:01,
54707,39504,01:01,892838
10726,39879,01:01,756866
23038,37073,01:01,797852
HUMAN00566,34121,01:01,898223
10163,34519,n:1,
199870,39069,n:1,
HUMAN00583,35364,n:1,945090
27293,326184,01:01,745802
22826,42812,01:01,847916
83667,37755,n:1,
54797,31140,01:01,893160
1104,38669,01:01,593917
54952,33652,01:01,
6883,DROME14366,01:01,
2035,37205,01:01,
51102,36540,01:01,874775
79570,37979,n:1,904104
9410,33180,01:01,593783
2170,3772232,n:1,
347735,39827,n:1,
64129,37537,n:1,823345
553115,36111,01:01,595376
8073,34952,n:1,
55116,36562,n:1,889528
23633,40160,n:1,557172
56063,35987,01:01,922138
8668,33710,01:01,593648
3065,38565,n:1,
339487,42551,01:01,941473
5928,41836,01:01,537039
8565,39829,01:01,953982
204,37834,01:01,
113451,35766,n:m,
113451,35767,n:m,
149076,33224,01:01,596988
79932,38893,n:1,945017
23154,40796,01:01,813879
5690,34999,01:01,958228
63967,326205,01:01,594638
192670,36544,n:1,
26523,36544,n:1,
192669,36544,n:1,
27285,37663,01:01,909714
1296,38624,n:1,
27095,39090,n:1,957638
55700,38491,n:1,
HUMAN00745,41440,01:01,925642
29889,36989,01:01,931759
79693,3772640,01:01,871320
HUMAN00757,31157,n:1,575242
10946,40678,01:01,917485
64121,35793,n:1,882898
79647,38821,n:1,
353500,37778,n:1,
8761,37070,n:1,593802
10450,36984,01:01,596181
656,37778,n:1,
64064,38261,n:1,
54802,192528,01:01,961717
10487,45233,01:01,756614
5538,31805,01:01,929171
10269,36908,01:01,703982
339559,36679,01:01,
1503,39645,n:1,961334
79717,42295,01:01,932911
10465,35571,01:01,593892
6513,38109,n:1,
10969,43691,01:01,594461
149465,37582,01:01,594620
991,34968,01:01,594383
64834,40567,n:m,
64834,40943,n:m,
112950,37305,01:01,898099
HUMAN00857,31960,01:01,808014
5792,35259,n:1,
9670,42171,01:01,575409
1802,41802,01:01,941821
HUMAN00873,45247,01:01,879234
55929,37339,01:01,933468
79639,35503,01:01,576204
6202,43532,01:01,961001
266675,39660,n:m,
266675,39661,n:m,
8643,35851,n:1,
8891,36722,01:01,593959
7389,35986,01:01,745570
5052,53578,01:01,
3652,34719,01:01,597160
110117499,33203,01:01,914128
8438,33507,01:01,593753
7388,246560,n:m,
7388,5740185,n:m,
HUMAN00952,34372,n:1,
64756,42020,01:01,738611
51727,43165,01:01,959451
84871,318558,01:01,873660
1996,33498,n:m,
1996,32245,n:m,595971
11124,36769,01:01,795895
26994,318246,01:01,
114883,36028,01:01,575041
4898,40316,1:m,
4898,32143,1:m,852441
112970,31160,01:01,885696
91408,45827,01:01,
200014,34543,n:1,
84950,35934,01:01,594106
65260,3355158,01:01,594841
6342,35140,1:m,
6342,44183,1:m,949340
HUMAN01024,38355,01:01,853479
54987,36459,01:01,891087
4116,37402,n:1,
7804,43105,n:m,
7804,2768687,n:m,
55706,42825,01:01,
54432,32244,n:1,918687
23648,42177,n:1,594666
7268,35565,01:01,797941
25973,38331,01:01,956224
8613,35966,n:1,556007
5563,43904,n:1,594445
55277,38473,01:01,712409
51361,35169,n:1,
7398,43462,01:01,596965
85440,33165,n:1,717226
HUMAN01099,34409,01:01,593841
5236,44010,n:1,899138
4919,34367,n:1,955128
HUMAN01106,37298,01:01,919530
3716,32080,n:1,
205,41318,n:1,
9829,40527,n:1,
54741,246605,n:1,
5142,DROME18988,n:1,
79819,DROME08479,1:m,
79819,38210,1:m,925866
23169,39943,01:01,857770
26135,34885,01:01,594687
55970,35881,n:1,
79971,39259,01:01,929655
55631,41677,01:01,594236
81573,37072,01:01,575356
1491,37143,01:01,842022
9406,37588,01:01,596040
257194,36363,01:01,
204962,43440,n:1,
34,38864,01:01,911730
5876,47757,01:01,935725
10026,31163,01:01,537869
26289,34220,01:01,959454
23032,36580,n:1,595333
HUMAN01186,36889,n:1,596035
11080,33308,n:m,594197
11080,38643,n:m,
5567,34284,n:1,
80135,34631,01:01,940803
255231,40152,n:m,
255231,40152,n:m,
126820,38851,01:01,925868
55283,40152,n:m,901721
