Homo sapiens,Mus Musculus,Relations,ID
79501,258399,n:m,
79501,MOUSE27312,n:m,301553
79501,MOUSE27314,n:m,
HUMAN00003,68767,n:1,595179
81399,258397,n:1,
81399,258397,n:1,
HUMAN00008,231004,01:01,
26155,57741,01:01,960108
339451,231003,01:01,599183
84808,74183,01:01,882915
9636,100038882,01:01,306444
401934,100045778,01:01,867439
254173,MOUSE35148,01:01,536138
8784,21936,01:01,599579
7293,22163,01:01,600444
HUMAN00026,20318,01:01,595953
126792,117592,01:01,
388581,67389,01:01,879681
118424,140499,01:01,594984
116983,140500,01:01,595532
126789,433813,01:01,951086
54973,71957,01:01,943559
80772,79554,01:01,924766
83756,83771,01:01,292080
1855,13542,01:01,940437
54587,74761,01:01,936397
54998,66077,01:01,860464
81669,56036,01:01,600840
55052,66448,01:01,899725
441869,MOUSE35112,01:01,601553
643965,320587,01:01,802353
64856,246228,01:01,597384
55210,108888,01:01,593995
339453,381582,01:01,885686
29101,68991,01:01,939109
643988,230991,01:01,840405
HUMAN00068,76580,01:01,851967
8510,26561,01:01,869937
984,12537,n:1,595957
728661,320541,01:01,857795
728642,12537,n:1,
65220,MOUSE35093,01:01,945183
2782,14688,01:01,593763
339456,69671,01:01,885835
HUMAN00089,544678,01:01,855324
2563,14403,01:01,703156
5590,18762,01:01,602863
HUMAN00094,67513,01:01,807483
6497,20481,01:01,867694
11079,67830,01:01,894127
5192,668173,01:01,724714
9651,MOUSE35054,01:01,857390
HUMAN00106,269614,01:01,922791
388585,15208,01:01,598471
8764,230979,01:01,601334
HUMAN00111,66469,01:01,823302
79258,MOUSE35037,01:01,942910
140625,73353,01:01,290705
63976,70673,01:01,
27237,230972,01:01,597980
1953,230971,01:01,599529
127262,67808,01:01,950968
49856,59002,01:01,926373
7161,MOUSE35009,01:01,934938
148870,381580,01:01,904253
388588,68859,01:01,837113
57470,MOUSE34998,01:01,918653
9731,230967,01:01,935777
1677,13368,01:01,954329
339448,97159,01:01,848655
55966,230959,01:01,919957
261734,260305,01:01,891799
8514,16498,01:01,879846
26038,269610,01:01,
6146,19934,01:01,958380
388591,433809,01:01,909092
23463,57295,01:01,721746
390992,15207,01:01,836400
387509,100129,01:01,939267
11332,70025,01:01,932818
54626,15206,01:01,598148
8718,85030,01:01,945038
HUMAN00159,269608,01:01,916267
79707,74035,01:01,934881
80835,110326,01:01,292070
3104,100090,01:01,601343
9903,242785,01:01,601445
148479,230936,01:01,879626
90326,69876,01:01,920586
55735,230935,01:01,844972
23261,100072,01:01,901701
9341,22319,01:01,883062
8863,18628,01:01,934656
10911,24111,01:01,901431
3604,21942,01:01,597283
11315,57320,01:01,814560
54206,74155,01:01,943212
HUMAN00190,242773,01:01,595663
473,MOUSE34899,01:01,600845
2023,13806,1:m,960120
2023,13806,1:m,
765,12353,01:01,704811
155184,435818,01:01,595709
6518,56485,01:01,594490
80045,269604,01:01,598653
9563,100198,01:01,921816
80176,74646,01:01,935602
84275,70556,01:01,769043
199953,MOUSE34875,01:01,282975
HUMAN00206,18707,01:01,707045
22883,65945,01:01,884103
56998,67087,01:01,284859
84328,69151,01:01,947765
64802,66454,01:01,961583
116362,63954,01:01,894430
10277,63958,01:01,706988
HUMAN00218,16561,01:01,752441
5226,110208,01:01,944839
378708,69928,01:01,541887
1325,12854,01:01,854157
1676,13347,01:01,892970
5195,56273,01:01,594402
54897,69743,01:01,944271
23435,230908,01:01,595527
10747,17175,01:01,604667
6723,20810,01:01,911196
5394,MOUSE34801,01:01,926219
2475,56717,01:01,737930
10218,654812,01:01,599983
29914,71707,01:01,810501
57540,242748,01:01,942074
